Date,Price
2010-01,1117.963
2010-02,1095.413
2010-03,1113.337
2010-04,1148.688
2010-05,1205.434
2010-06,1232.920
2010-07,1192.966
2010-08,1215.810
2010-09,1270.977
2010-10,1342.024
2010-11,1369.886
2010-12,1390.553
2011-01,1360.460
2011-02,1374.680
2011-03,1423.260
2011-04,1480.890
2011-05,1512.580
2011-06,1529.360
2011-07,1572.750
2011-08,1759.010
2011-09,1772.140
2011-10,1666.430
2011-11,1739.000
2011-12,1639.970
2012-01,1654.050
2012-02,1744.820
2012-03,1675.950
2012-04,1649.200
2012-05,1589.040
2012-06,1598.760
2012-07,1594.290
2012-08,1630.310
2012-09,1744.810
2012-10,1746.580
2012-11,1721.640
2012-12,1684.762
2013-01,1671.848
2013-02,1627.570
2013-03,1593.086
2013-04,1487.857
2013-05,1414.027
2013-06,1343.350
2013-07,1285.516
2013-08,1351.742
2013-09,1348.600
2013-10,1316.580
2013-11,1275.860
2013-12,1221.512
2014-01,1244.270
2014-02,1299.580
2014-03,1336.080
2014-04,1298.450
2014-05,1288.740
2014-06,1279.100
2014-07,1310.590
2014-08,1295.130
2014-09,1236.550
2014-10,1222.490
2014-11,1175.330
2014-12,1200.620
2015-01,1250.750
2015-02,1227.080
2015-03,1178.630
2015-04,1198.930
2015-05,1198.630
2015-06,1181.500
2015-07,1128.310
2015-08,1117.930
2015-09,1124.770
2015-10,1159.250
2015-11,1086.440
2015-12,1075.740
2016-01,1097.910
2016-02,1199.500
2016-03,1245.140
2016-04,1242.260
2016-05,1260.950
2016-06,1276.400
2016-07,1336.660
2016-08,1340.170
2016-09,1326.610
2016-10,1266.550
2016-11,1238.350
2016-12,1157.360
2017-01,1192.100
2017-02,1234.200
2017-03,1231.420
2017-04,1266.880
2017-05,1246.040
2017-06,1260.260
2017-07,1236.840
2017-08,1283.040
2017-09,1314.070
2017-10,1279.510
2017-11,1281.900
2017-12,1264.450
2018-01,1331.300
2018-02,1330.730
2018-03,1324.660
2018-04,1334.760
2018-05,1303.450
2018-06,1281.570
2018-07,1237.710
2018-08,1201.710
2018-09,1198.390
2018-10,1215.390
2018-11,1220.650
2018-12,1250.400
2019-01,1291.750
2019-02,1320.070
2019-03,1300.900
2019-04,1285.910
2019-05,1283.700
2019-06,1359.040
2019-07,1412.890
2019-08,1500.410
2019-09,1510.580
2019-10,1494.810
2019-11,1470.790
2019-12,1479.130
2020-01,1560.670
2020-02,1597.100
2020-03,1591.930
2020-04,1683.170
2020-05,1715.910
2020-06,1732.220
2020-07,1846.510
2020-08,1968.630
2020-09,1921.920
2020-10,1900.270
2020-11,1866.300
2020-12,1858.420
2021-01,1866.980
2021-02,1808.170
2021-03,1718.230
2021-04,1760.040
2021-05,1850.260
2021-06,1834.570
2021-07,1807.840
2021-08,1785.280
2021-09,1775.140
2021-10,1776.850
2021-11,1821.760
2021-12,1790.430
2022-01,1816.020
2022-02,1856.300
2022-03,1947.830
2022-04,1936.860
2022-05,1848.500
2022-06,1836.570
2022-07,1732.740
2022-08,1764.560
2022-09,1680.780
2022-10,1664.450
2022-11,1725.070
2022-12,1797.550
2023-01,1897.710
2023-02,1854.540
2023-03,1912.730
2023-04,1999.770
2023-05,1992.130
2023-06,1942.900
2023-07,1951.020
2023-08,1918.700
2023-09,1915.950
2023-10,1916.250
2023-11,1984.110
2023-12,2026.180
2024-01,2034.040
2024-02,2023.240
2024-03,2158.010
2024-04,2331.450
2024-05,2351.130
2024-06,2326.440
2024-07,2398.200
2024-08,2470.150
2024-09,2570.550
2024-10,2690.080
2024-11,2651.130
2024-12,2648.010
2025-01,2709.690
2025-02,2894.730
2025-03,2983.250
2025-04,3217.640
2025-05,3309.490
2025-06,3352.660
2025-07,3340.150
